text,page_number
"SOS Childrens Villages Syria is pro-
viding water to buildings connected 
to a borehole through fixed pipes as 
well as public water taps while also 
transporting fresh water from the wells 
to surrounding neighbourhoods. In 
addition, SOS Childrens Villages gave the 
local authorities in and around Aleppo a 
new water pump that can provide up to 
30,000 people with fresh water. The team 
also installed ten metal containers in the 
centre of Aleppo to provide 5,000 people 
with necessary water.
",18
"We will continue to support trusted 
partners and create our own impact on 
the world by providing access to clean 
water where needed.
",18
"2020
At the end of 2016, 54% of our strategic suppliers were 
on track to achieve the 2020 target. With the launch of 
our new Sustainability Strategy in 2016, we took the 
opportunity to enhance our existing tools to measure 
our suppliers environmental performance, which has 
led us to the development of a more refined method of 
measurement. Using a divisional benchmark and taking 
into account suppliers actual performance, we set 
individual targets for each of our suppliers that will drive 
2020 target achievement. 
 see page 34 for details 
",19
" 50% water savings at our 
apparel material suppliers 2
",19
"2020
At the end of 2016, we achieved 11% savings in water 
usage, exceeding our annual target. Progress was 
driven by our initiative Manufacturing Excellence that 
successfully promoted several improvement measures 
in water processing and usage in textile production, all 
of them resulting in increased water efficiency. 
",19
"Being committed to transparency we 
measure and disclose the progress made 
towards our 2020 targets as defined in our 
Sustainability Strategy at the end of each 
year. 
",19
"We use three incremental stages of eval-
uation to describe the progress made:
",19
"  IN THE BLOCKS: We are at the starting point, fully pre-
pared and ready to begin this new project or initiative. If a 
project is already in place, this stage implies that it might 
have been affected by unforeseeable challenges.
  RUNNING: We are on track to achieve our set targets. At 
the same time, potential partners are on board and working 
with us, while problems  if any  are under control. 
  FINISHING LINE: The target is in clear sight and the pro-
ject is almost completed successfully. But we know there is 
always more to be done and the next starting block is right 
around the corner.
",19
"35% water savings per 
employee at our own sites 3
",20
"2020
We achieved a 23% reduction in water use per employee 
between 2008 and 2016, despite increased water 
consumption in 2016. This was the result of improvements 
in irrigation efficiency, especially at campus locations with 
on-site football fields and golf courses. Other measures 
include the installation of water-saving devices and the 
introduction of awareness campaigns for employees. 
A few sites are still unable to measure their water 
consumption accurately as they share their office building 
with other occupants. The water charges for their leased 
or rented space are usually not metered separately, which 
makes it difficult to measure water volume in this type of 
shared-occupancy setting. 
 see page 78 for details 
",20
"Further expand the use of 
waterless technologies for 
our products
",20
"2020
We aim to steadily increase the amount of waterless 
dyeing conducted by the company year over year. In 2016, 
initiatives to expand the equipment for waterless dyeing 
by our supplier have been planned. We continue to work 
on defining the DryDye yardage in order to increase the 
amount in 2018. Please see our website for details. 
",20
"Continue to develop  
programmes focused on 
providing access to clean 
water in the communities 
we operate in 
",20
"2020
We continued to support trusted and long-standing 
partners in water saving initiatives. In 2016, we teamed up 
with SOS Childrens Villages on a water project in Aleppo, 
Syria, that resulted in 700 families having access to clean 
water on a daily basis. 
 see page 18 for details
",20
"1 Strategic suppliers are responsible for around 80% of our global production volumes. 2014 baseline. | 2 Apparel material suppliers are specialists in printing and dyeing 
operations. 2015 baseline. | 3 Owned operations include offices, distribution centres, retail. 2008 baseline.
",20
"WE CREATE THE BEST FOR THE  ATHLETE, 
WHILE OPTIMISING OUR ENVIRONMENTAL  
IMPACT. WE ARE COMMITTED TO STEADILY 
INCREASING THE USE OF MORE SUSTAIN-
ABLE MATERIALS IN OUR PRODUCTION, 
PRODUCTS AND STORES. AT THE SAME TIME, 
WE ARE DRIVING TOWARDS CLOSED-LOOP 
SOLUTIONS.
",21
"JOB
SENIOR DIRECTOR,
PRODUCT OPERATION
MATERIALS,TAIWAN
AT  ADIDAS
",22
"Whether I work towards achieving 
our Better Cotton goal or apply  
these learnings on the Parley 
project, I am proud of our great 
teamwork, passion, and creativity. 
My dream is to leave a better world 
to our kids, and the commitment of 
our company towards sustainability 
allows me to be part of the 
solution. 
",22
"Creating the best for the athlete is an ambitious goal, doing it 
while optimising our environmental impact a much bigger one. 
One that we have been taking seriously for many years now. 
We believe this is the right thing to do. In addition, we know 
that the availability of non-renewable resources is constantly 
declining, which is why we must search for alternative solutions 
 today. This means that we need to replace the non-renewable 
materials we use, e.g. synthetic fibres such as polyester, but 
also cotton and various blends. We also have to address the 
global waste challenge and resource shortages by actively 
driving material innovations and closed loop solutions that will 
reduce our environmental footprint.
",23
"W E  I N N O V A T E  M A T E R I A L S  &  P R O C E S S E S
",23
"In 2016, we have seen remarkable pro-
gress on our way to more sustainable 
material innovation. One major mile-
stone is the development of our part-
nership with Parley for the Oceans, an 
organisation that addresses major threats 
towards the marine environment, the 
most important yet most fragile ecosys-
tem on our planet. As founding member, 
we support Parley for the Oceans in its 
efforts in communication and education, 
research and develop ment, direct action 
and eco- innovation. The mutual focus is 
on Parleys comprehensive Ocean Plastic 
Program, which is led by the Parley A.I.R. 
Strategy (Avoid, Intercept, and Redesign) 
to end ocean plastic pollution.
",24
"As part of this, we are working closely 
with Parley to transform marine plastic 
pollution into performance sports gear. 
The plan is working out and, in Novem-
ber 2016, experienced a highlight with 
the introduction of our first commercial 
football and running performance prod-
ucts made with Parley Ocean  Plastic: the 
unique Bayern Munich and Real Madrid 
jerseys as well as the UltraBOOST 
Uncaged were the first products for con-
sumers to purchase. The partnership will 
continue in 2017 with the goal of creat-
ing one million pairs of shoes made with 
 Parley Ocean Plastic. 
",24
"While we work with Parley to reuse plastic 
waste, we are also focusing on altogether 
avoiding the production of new plastic. 
One of the solutions we are currently look-
ing into is Sport Infinity, a research project 
led by  adidas and funded by the European 
Commission, which aims to identify and 
develop innovative recyclable composites 
that can be broken down into 3D-shape-
able materials, and then remoulded in 
a waste-free process into a brand new 
product. In 2016, an initial proof of concept 
underlined for us that this is the most effi-
cient and sustainable manufacturing pro-
cess for recyclable products, with the key 
benefits being a drastic reduction in waste 
and the ability to create a product without 
the use of adhesives. We have also worked 
on a first range of qualified materials en- 
abling fully recyclable products. As a 
result we were able to build first demon-
strators made from these materials. 
",24
"The latest sustainable innovation is the Futurecraft Biofabric pro-
totype, which we presented in November 2016. The worlds first 
performance shoe made from Biosteel fibres, developed by the 
German biotech company AMSilk, not only provides all the prop-
erties of a highly functioning performance shoe, it is also 100% 
biodegradable in a fully natural process. We will continue our 
work on this research project over the coming years. 
",24
"These examples are complemented by our overall approach and 
successful efforts to use more sustainable materials in our prod-
ucts, for example the ever-growing amount of Better Cotton used 
in our global production. As a founding member and participating 
company, we have been partnering with the Better Cotton Initi-
ative (BCI) since 2004, supporting the environmental and social 
benefits the initiative brings with it. In 2016, 68% of the cotton we 
sourced globally was Better Cotton, again exceeding our original 
target of 60%. This brings us even closer 
to achieving our commitment to source 
100% of cotton across all product cate-
gories in all our brands as sustainable 
cotton by 2018. 
",24
"From our partnership with Parley for the 
Oceans to Sport Infinity and Futurecraft 
Biofabric, we will continue our journey 
towards redefining the industry of sus-
tainable innovation and the elimination 
and reuse of materials. 
",24
"W E  I N N O V A T E  M A T E R I A L S  &  P R O C E S S E S
",24
"We are committed to minimising waste 
as it occurs during production along 
our supply chain and finding environ-
mental-friendly disposal solutions that 
reduce our environmental footprint. In 
collaboration with two strategic part-
ners, we launched a pilot project in Viet-
nam in 2016 in order to understand how 
we can achieve our future ambition of 
zero landfill by finding rubber upcycling 
alternatives to divert waste from landfill. 
",25
"After analysing our suppliers waste 
data, we focused our initial pilot in Viet-
nam on key apparel and footwear sup-
pliers. We set first phase priorities and 
defined the project scope and deliv-
erables with our strategic partners. 
The pilot included an analysis of waste 
streams, recommendations for waste 
segregation efficiency to maximise the 
collected waste on the one hand, as 
well as a feasibility study and analysis 
 of apparel waste disposal methods and 
efficiency for Tiers 1 and 2. 
",25
"As we conclude the first phase in Viet-
nam, the project will be rolled out region-
ally to bring the important learnings 
to other suppliers and minimise waste 
along our supply chain. 
",25
" 
IMPROVING OUR 
 
CHEMICAL FOOTPRINT
 example by involving our licensees and subsidiaries. By the 
end of 2016, we had approved solutions for roughly 96% of all 
released products. As there are no global standards to define 
PFC-free, we have created and implemented an  adidas PFC-
free policy which summarises the most up-to-date findings of 
our research work and describes a sophisticated procedure to 
ensure compliance with our PFC-free programme as well as to 
eliminate the intentional use of PFCs. The policy covers the full 
supply chain, end to end: from input chemistry to production 
through to the final product, and further provides an approved 
list of formulations to be used by all  adidas suppliers as well 
as an approved list of suppliers who meet our requirements to 
produce PFC-free products. All these steps and achievements, 
continuous research and commitment have put us in a strong 
position towards achieving our ambition as of 2018 onwards. 
",25
"We strive to be open about our progress even if we do not 
have all the answers yet. While we are well on the way to 
eliminating PFCs from our production processes, we have 
started working on reducing the negative impacts of pro-
cessing a new chemical of concern: DMF 2, a hazardous sol-
vent used to manufacture synthetic leather products. We are 
currently evaluating how many water-based materials are 
finding their way into our new products and will proactively 
promote these internally to raise awareness. As an impor-
tant next step, we will collaborate with chemical suppliers and 
PU 3 production facilities to optimise the performance prop-
erties of synthetic leather products that are currently not 
water-based to find the perfect balance between creating the 
best for the athlete and optimising our environmental impact.  
",25
" see page 29 for more details about our progress made in chemical management
",25
"1 Defined as all poly- and perfluorinated alkyl substances and their precursors and  
metabolites. | 2 Defined as dimethylformamide. | 3 Defined as polyurethane. 
",25
"Our commitment to improve our chemical footprint 
has long been crucial to our sustainability work and 
naturally found its way into our new strategy as well. 
Hazardous chemicals contaminating the water sup-
ply is only one example of the severe environmen-
tal impacts deriving from material processing. At 
the same time, some of our products require man-
made chemistry with unique criteria to meet our 
high performance functional and quality standards. 
",25
"All of our products are safe for consumers and 
comply with all applicable legislation. However, 
we are committed to go way beyond that and 
proactively search for and implement alternatives 
to chemicals of concern without compromising on 
the performance and quality of our products. One 
example is our commitment to phase out PFCs 1 with 
the aim to being at least 99% PFC-free by no later 
than the end of 2017. By building in-depth expertise 
in our teams and strengthening our research 
capacities to find PFC-free alternatives that meet 
our high performance and quality standards in 
recent years, we have already succeeded in being 
90% PFC-free since June 2014, and have eliminated 
all long-chain (i.e. C7, C8 and longer) PFCs since 
January 2015, across all products we produce or 
sell globally. However, the transition to PFC-free 
finished products causes challenges and is not 
without setbacks, especially when you take our 
diverse product portfolio in footwear, accessories 
and our global supply chain into account. 
",25
"Through our research and innovation efforts, 
we have achieved significant progress in 2016, for 
",25
"W E  I N N O V A T E  M A T E R I A L S  &  P R O C E S S E S
",25
"We will achieve 20% waste 
reduction at our strategic 
suppliers 1
",26
"2020
At the end of 2016, 39% of our strategic suppliers were 
on track to achieve the 2020 targets. With the launch 
of our new Sustainability Strategy in 2016, we took the 
opportunity to enhance our existing tools to measure 
our suppliers environmental performance, which has 
led us to the development of a more refined method of 
measurement. Using a divisional benchmark and taking into 
account suppliers actual performance, we set individual 
targets for each of our suppliers that will drive 2020 target 
achievement. 
 see page 34 for details 
",26
"50% waste diversion for 
owned operations to mini-
mise landfill 2
",26
"2020
Our sites have been analysing waste streams and 
introducing recycling measures and organic canteen waste 
composting over the past few years. Some sites, especially 
our administration offices and distribution centres in Asia 
and South America, still find it challenging to measure and 
track individual waste streams and volumes. Currently, 
45% of all our sites have implemented a tracking system. 
Some of these challenges relate to how our leases are 
structured. For example, we may be charged a flat waste-
haul charge by a landlord, rather than a per weight fee. 
In some cases, our waste is mixed with other tenants 
waste. This was the first year we requested recycling 
volumes. Many facilities and countries appear to lack basic 
recycling infrastructure, partners and programmes. This 
will be a key priority to address in coming years. To note, 
we have reduced the domestic waste per employee by 
28% in comparison to 2008, achieving our internal target. 
",26
"75% paper reduction per 
employee at our own sites 3 
",26
"2020
In 2016, we achieved a 17% reduction in paper consumption 
compared to the previous year as well as a 49% reduction 
since 2008. Success is led by our administrative offices as 
many have adjusted the default settings on existing print-
ers or upgraded to new printers that enable users to print 
documents double-sided. In addition, the implementation of 
badge access printing and the transition to a digital culture is 
supporting this reduction in paper consumption. Paper sav-
ings have not yet been replicated by our production facilities 
and distribution centres. Our distribution centres in particu-
lar have struggled to reduce consumption due to the increase 
in online orders and the need to print delivery documents. 
",26
"1 2014 baseline. | 2 Owned operations include offices, distribution centres, retail. 2015 baseline. | 3 2008 baseline.
",26
"W E  I N N O V A T E  M A T E R I A L S  &  P R O C E S S E S
",26
"Replacing conventional cot-
ton, with the aim of achiev-
ing 100% sustainable 
cotton by 2018.
",27
"2018
At the end of 2016, 68% of all cotton we sourced globally 
was Better Cotton. This is a great step towards our target 
of sourcing 80% by 2017 and achieving 100% sustainable 
cotton at the end of 2018. Sustainable cotton in this 
sense means Better Cotton, certified organic cotton or 
any other form of sustainably produced cotton that is 
currently available or might be in future. Please also see 
our website.
",27
"Phasing out the use of virgin  
plastic, starting with:
",27
"2016
As of April 2016, we have eliminated plastic bags from our 
retail stores globally and switched to paper bags. In total, 
the move will eliminate approximately 70 million plastic 
shopping bags per year. Please also see our website.
",27
"  Increasing the use of 
recycled polyester in our 
products.
",27
"2020
In 2016, we have further increased the use of recycled 
polyester in our products and offered the first commercial 
football and running performance products made with 
Parley Ocean Plastic: the unique Bayern Munich and 
Real Madrid jerseys as well as the UltraBOOST Uncaged 
(with 7,000 pairs available) were the first products for 
consumers to purchase and sold out instantly. We have 
further committed to create one million pairs of footwear 
by the end of 2017. Please also see our website.
",27
"  Creating a completely 
new supply chain for 
Ocean Plastic together 
with our partner Par-
ley for the Oceans. 
This means that we are 
investing in resources to 
divert plastic waste from 
coastal communities 
back into the produc-
tion cycle and turn it into 
products.
",27
"2020
In 2016, we collaborated with our main Parley supply 
chain partner in Taiwan and established a collection infra-
structure in the Maldives. In addition, we implemented a 
monitoring system to get transparency about supply and 
demand. Also in 2016, we extended our monitoring cover-
age to include lower tiers of supplier facilities and started 
to conduct a series of labour, health and safety, and envi-
ronmental audits for suppliers, supporting the launch of 
new products.
",27
"W E  I N N O V A T E  M A T E R I A L S  &  P R O C E S S E S
",27
"Increasing the use of sus-
tainable designs and mate-
rials in our stores.
",28
"2020
Sustainability was central to the design of the new  adidas 
flagship store in New York City, which opened in December 
2016. The store maintains the buildings existing textures 
and finishes, which reduced the need for new materials. 
Moreover, the store features sales support items created 
with Parley Ocean Plastic, i.e. more than 25% of our manne-
quins and more than 90% of hangers and all shoe fillers and 
size cubes are made with 30% Parley Ocean Plastic. It is the 
first store of the adidas store fleet which was equipped with 
Parley Ocean Plastic items. We are exploring opportunities 
to roll it out further. Please see our website for details. 
",28
"Rolling out a global prod-
uct take-back programme 
to all of our key cities and 
markets. Building on exist-
ing take-back pilots such 
as the one in Brazil, we will 
continuously expand this 
programme. 
",28
"2020
In 2016, we built on and advanced our existing take-back 
programme in Brazil and introduced a take-back pro-
gramme at our own retail stores in Canada. The first results 
in Canada have been very positive in terms of store staff 
engagement and consumer aspects. As a next step, we will 
expand to selected stores in key cities in the US and West-
ern Europe markets in 2017.
",28
"Investing in materials, 
processes and innovative 
machinery which will allow 
us to upcycle materials into 
products and reduce waste. 
Ongoing examples include:
",28
"  Sport Infinity, a research 
project funded by the 
European Commission 
which focuses on sport-
ing goods that can be 
fully recycled. The pro-
ject aims to identify and 
develop innovative recy-
clable materials which 
will enable the produc-
tion of easily customisa-
ble sporting goods.
",28
"2020
In 2016, a proof of concept underlined for us that this is the 
most efficient and sustainable manufacturing process for 
recyclable products, with the key benefits being a dras-
tic reduction in waste and the ability to create a product 
without the use of adhesives. We have also worked on a 
first range of qualified materials enabling fully recycla-
ble products. As a result we were able to build first dem-
onstrators made from these materials. We will continue 
our work on this research project over the coming years. 
Please see our website for details.
",28
"W E  I N N O V A T E  M A T E R I A L S  &  P R O C E S S E S
",28
"  Futurecraft Tailored 
Fibre, a new sewing tech-
nique which allows new 
materials such as gill 
nets to be combined for 
use in footwear. Thanks 
to its efficiency, this pro-
cess allows a significant 
amount of waste from the 
traditional shoemaking 
process to be eradicated.
",29
"2020
In 2016, we released 50 pairs of the iconic Parley prototype 
shoe that were created using the adidas Tailored Fibre 
technology. In addition, we presented the Futurecraft 
Biofabric prototype. The worlds first performance shoe 
made from Biosteel fibres provides all the properties of a 
highly functioning performance shoe and an upper which is 
also 100% biodegradable in a fully natural process. Please 
see our website for details. 
",29
"Achieving 100% sustain-
able input chemistry by 
adopting the ZDHC MRSL; 
phasing out hazardous 
chemicals; providing our 
suppliers with a list of 
 positive chemistry (the 
bluesign bluefinder)
",29
"2020
Adoption of ZDHC MRSL: In 2016, we started to implement 
the first industry-wide Manufacturing Restricted Sub-
stances List (MRSL) which we have jointly created with the 
ZDHC organisation. We have set this list as a basic expec-
tation for our suppliers. We also contributed to the MRSL 
Conformance Guidance, a tool that aims to support the 
implementation of the ZDHC MRSL, which will be released 
in early 2017. The communication, supported by adidas 
internal hands-on guidance documents, was released to 
all Tier 2 wet process suppliers in July 2016; 
Chemical phase-out: We have made further progress in 
phasing out hazardous chemicals. 
 see page 25 for details; 
bluesign: Our suppliers exceeded the 2016 target of 30% of 
auxiliaries and 70% of dyestuffs to be bluesign-approved 
by 11% and 6%, respectively. Looking ahead, our 2017 tar-
gets for our strategic apparel material suppliers are 50% 
of auxiliaries and 80% of dyestuffs to be bluesign-approved. 
",29
"Please also see our website for the latest progress report 
about our chemical management. 
",29
"W E  I N N O V A T E  M A T E R I A L S  &  P R O C E S S E S
",29
"ENERGY IS THE FUEL OF THE BODY. THE RE-
SPONSIBLE USE OF ENERGY IS ALSO CRITI-
CAL FOR OUR PLANET TO SURVIVE. IN ORDER  
TO MITIGATE CLIMATE CHANGE, WE ARE 
COMMITTED TO REDUCING OUR ABSO-
LUTE ENERGY CONSUMPTION AND CO2 
EMISSIONS, TRANSITIONING TO CLEAN  
ENERGY AND LOOKING INTO ENERGY HAR-
VESTING OPPORTUNITIES. 
",30
"JOB
SENIOR MANAGER  
ISO & GREEN 
COMPANY,  
GERMANY  
HEADQUARTERS
AT  ADIDAS
",31
"My role as Green Company leader 
is to implement the right drivers to 
create a more sustainable company 
that prioritises energy efficiency 
and renewable energy projects and 
maximises the positive impact in 
our facilities and stores. I want to 
influence smart business growth 
through operating sustainable 
sites to ensure economic 
prosperity and improve human 
health and well-being.
",31
"SYSTEMATICALLY 
CONSERVING 
ENERGY AT OUR 
OWN SITES
",32
"While we pay close attention to our 
manufacturing processes to ensure 
the responsible use of energy, we are 
also systematically improving the envi-
ronmental footprint at our own sites. 
This has led us to commit to reduce our 
absolute CO emissions annually by 3%, 
transition to clean energy, and look into 
energy harvesting opportunities by 2020. 
",32
"This is where LEED comes in. Short for 
Leadership in Energy and Environmen-
tal Design, it is the internationally recog-
nised and most widely used third-party 
verification method for green buildings. 
It sets high standards for design and con-
struction and uses strategies to improve 
 energy savings, reduce CO emissions, 
improve indoor air quality and reduce 
water consumption. 
",32
"Increasing the number of buildings that 
are LEED certified in our major new cor-
porate construction projects is also an 
important initiative of our Sustainabil-
ity Strategy. While most new offices and 
distribution centre projects will pur-
sue some level of LEED certification, 
our largest facilities generally aspire 
for LEED Gold. And we are proud to see 
that our new office in Santiago, Chile, has 
received LEED Gold, making it the first 
new office to achieve this green building 
standard since we committed to LEED in 
",32
"2016. In addition, our office in Moscow, 
Russia, received LEED Silver, and New 
York City will follow next. 
",33
"Our efforts reach beyond new construc-
tion projects and include significant 
energy efficiency investments in existing 
buildings. In 2016, we kicked off an ambi-
tious lighting retrofit in our largest US 
distribution centre in Spartanburg, USA. 
The sophisticated lighting control system 
and high-quality LED lighting optimises 
light levels and energy savings, and 
responds dynamically to the demands of 
the centres operation in real time. While 
the retrofit project will be responsible 
for an estimated 88% of lighting energy 
reduction, it is also the biggest green 
ENERGY Fund project since its launch in 
2012. The goal of the Fund is to finance 
energy efficiency and renewable energy 
projects across  adidas properties glob-
ally  we have invested in more than 60 
projects in our owned and leased prop-
erties. Based on the overall success, we 
will expand our efforts to include WATER 
and WASTE Funds, respectively, in 2017. 
",33
"Our ambition to make our buildings lean 
and smart was further underpinned with 
the launch of our first Integrated Man-
agement System (IMS) in 2016. In addi-
tion to environment, the system now 
covers provisions for health & safety and 
energy. Managing these drivers under 
one roof is supported by a dedicated 
IMS policy that defines clear procedures 
and responsibilities for our workplaces 
to operate efficiently and in an environ-
mentally sound manner. It will further 
improve risk management, prevent acci-
dents and create a safer work environ-
ment. In 2016, we received first-time 
certification for our IMS in Germany. 
Next, we plan for more sites to join this 
system in Europe and North America, 
followed by Asia and Latin America in 
the next few years.
",33
"We also join trusted partners and organ-
isations in our fight to conserve energy 
 and tackle the challenges climate change 
poses. We are proud to be recognised 
as a leader in climate action by the UN 
and to be a member of the UN Climate 
 Neutral Now initiative. We also signed 
the  declaration of German Watch in 2016 
and will continue to tackle the impact 
of  climate change at our own sites and 
across our supply chain in the following 
years.
",33
"We know that most of the 
environmental impact 
occurs in our supply chain, 
which is why we put par-
ticular focus on ways to 
improve how we meas-
ure the environmental 
performance of our sup-
pliers. With our new Sus-
tainability Strategy having 
come into full effect in 
2016, we have made sig-
nificant changes to the 
way we monitor the envi-
ronmental performance of 
our suppliers by enhanc-
ing our eKPI 2.0 pro-
gramme. The upgraded 
programme is a perfor-
mance-driven tool that 
allows for greater trans-
parency into our suppli-
ers actual consumption of 
energy, water, and waste, 
helping us to understand these strategic 
areas in which our suppliers need fur-
ther guidance and support to improve 
their environmental performance.
",34
"Within the eKPI 2.0 tool, we developed 
three supplier benchmark groups for 
each category (apparel, footwear, and 
hardware) that allow us to compare sup-
plier performance. The groups bench-
mark uses 2014 verified performance 
data to set both individual performance 
targets in energy, water, and waste as 
well as their groups overall 20% reduc-
tion target. 
",34
"To measure and evaluate our suppli-
ers progress against their set targets, 
 we use an online tool and environmen-
tal scorecard that shows their achieve-
ment towards these targets in each 
of the environmental strategic areas. 
One of the major benefits of this new 
approach is that we can now target indi-
vidual reduction plans according to sup-
pliers needs in relation to their actual 
usage of energy, water, and waste as 
well as specified trainings and perfor-
mance reviews that match their respec-
tive situation.  
",34
"While the evolution of our eKPI 2.0 
reporting has made remarkable pro-
gress in 2016, we are also looking at how 
to further strengthen the programme 
and process. Our ambition is to create 
an online dashboard that enables our 
suppliers and internal teams to track 
suppliers performance in order to drive 
immediate actions, improve accuracy, 
and use the suppliers self-declared 
monthly data real-time decision-making. 
",34
"ON TRACK:
 
EVOLUTION AND  
CREATION OF
 
eKPIS 2.0
 eKPI 2.0 =
ENERGY, WASTE AND WATER
",34
"PERFORMANCE-DRIVEN 
TOOL FOR GREATER 
TRANSPARENCY
",34
"2020
At the end of 2016, 37% of our strategic suppliers were 
on track to achieve the 2020 reduction targets. With the 
launch of our new Sustainability Strategy in 2016, we took 
the opportunity to enhance our existing tools to measure 
our suppliers environmental performance, which has led 
us to the development of a more refined method of meas-
urement. Using a divisional benchmark and taking into 
account suppliers actual performance we set individual 
targets for each of our suppliers that will drive 2020 tar-
get achievement. 
 see page 34 for details 
",35
"3% absolute annual 
reduction in Scope 1 and 
Scope 2 CO emissions at 
our own sites 2
",35
"2020
In 2016, we surpassed our goals of 3% net emissions 
reduction by achieving an 11% absolute annual reduction 
in Scope 1 and Scope 2 CO emissions. This was aided pri-
marily by ambitious energy efficiency programmes, an 
increased investment in carbon offsets, and the declin-
ing carbon-intensity of several grids in which we oper-
ate. For example, we launched a lighting retrofit at our 
largest US distribution centre, installing a sophisticated 
lighting control system and high-quality LED lighting. 
This project prepares the way for more advanced build-
ing technologies that will continue to reduce our carbon 
emissions and utility costs. 
 see page 78 for details 
",35
"2020
In 2016, we successfully implemented an Integrated 
Management System (IMS), adding Health & Safety 
(BS OHSAS 18001) and Energy standards (ISO 50001) to 
our current Environmental System (ISO 14001). IMS is 
helping us to drive the integration of Health & Safety, 
Energy, and Environmental Management Systems and 
standards within our own facilities. During 2016, we 
added new sites to our Management System matrix 
certification including the Zaragoza office in Spain and 
the distribution centre in Langensteinach, Germany. 
The IMS will be rolled out to additional sites in Europe 
and North America in 2017 and we aim to achieve 
certified status in Asia and Latin America by 2020. 
",35
"LEED certification for 
major new corporate 
 construction projects, 
such as the new offices 
at the companys head-
quarters in Germany and 
new flagship stores
",36
"2020
In 2016, our new office in Santiago, Chile, received LEED 
Gold certification. The office in Santiago sets a high bar for 
environmental sustainability, human health, and indoor air 
quality. It also serves as a model for resource efficiency 
and innovation in future building development. In addition, 
our new office in Moscow, Russia, was awarded LEED 
Silver status. More LEED projects are underway around 
the world. 
 see page 32 for details 
",36
"Reduce the environmental 
footprint of our consumer 
events.
",36
"2020
In 2016, we developed guidelines for Sustainable Events 
which will serve as orientation for our markets globally 
to run events more sustainably and inspire best practice 
sharing opportunities. The guidelines will be made 
available to our internal teams and external agencies 
with the aim of reducing the environmental footprint 
of selected events. We aim for a global rollout of the 
guidelines in 2017.
",36
"1 2014 baseline | 2 Scope 1: emissions that arise directly from sources that are owned or controlled by  adidas entities, such as fuels used in our boilers; Scope 2: 
emissions generated by purchased electricity consumed by  adidas entities. 2015 baseline
",36
"IT STARTS WITH LISTENING: HOW WE EMPOWER WORKERS IN OUR SUPPLY CHAIN 
40
BALANCED, INCLUSIVE, GENDER INTELLIGENT: CHALLENGING COMMON THOUGHTS 
42
2020 TARGET EVALUATION 
43
",37
"REACHING OUT TO THE KIDS: HOW WE ACCELERATE FOOTBALL  
DEVELOPMENT IN CHINA 
48
WHEN PHYSICAL FITNESS IS JUST THE BEGINNING: HOW WE FUEL OUR  
EMPLOYEES HEALTH 
50
2020 TARGET EVALUATION 
51
",37
"TAKING ON CHALLENGES OF OUR TIMES: HOW WE TAILOR ACTIONS TO NEEDS 
55
FIGHTING OCEAN DESTRUCTION: WHY IT NEEDS CREATORS 
57
2020 TARGET EVALUATION 
58
",37
"PEOPLE ARE AT THE HEART OF EVERYTHING 
WE DO. LIKE A COACH ENSURES THAT ALL 
OF THE PLAYERS ON THE PITCH ARE IN THE 
RIGHT POSITION FOR THE BEST RESULTS, WE 
EMPOWER PEOPLE TO EXERCISE THEIR 
RIGHTS AND UNLOCK THEIR POTENTIAL.
",38
"JOB
SENIOR MANAGER SOCIAL 
AND ENVIRONMENTAL  
AFFAIRS, PROJECT AND  
CAPACITY BUILDING, 
 VIETNAM 
AT  ADIDAS
",39
"I bring in the right partners to do 
the right training for our suppliers. 
By organising the perfect sessions 
and workshops, I make sure that 
our participants get the necessary 
tools to succeed in their daily work 
in the factories and ultimately 
contribute to the success of  
our company.
",39
"JOB
DIRECTOR SOCIAL AND  
ENVIRONMENTAL AFFAIRS,  
FIELD OPERATIONS,  
INDONESIA 
AT  ADIDAS
",39
"I want to keep pushing and find ways 
to improve worker satisfaction in 
our supply chain. I think of myself as 
a coordinator between our internal 
teams and the external consultants 
to determine the best path for global 
scalability of the worker engagement 
programme. I am proud that our 
project is considered a breakthrough 
as there was no worker satisfaction 
index available for our industry when 
we first started.
",39
"People are at the heart of everything we do. We want 
to empower them to exercise their rights and unlock 
their potential. This goes for our employees as well as 
the factory workers in our supply chain. Taking care 
of the well-being of our factory workers has been cru-
cial to our supply chain management for decades. As 
a core minimum, we have therefore established our 
Workplace Standards, our supply chain code of con-
duct. These standards are contractually binding rules 
we apply at our suppliers factories to cover workers 
health and safety and to provide provisions to ensure 
environmentally sound factory operations. Draw-
ing on international law and the International Labour 
Organisation conventions, they follow the model code 
of conduct of the World Federation of Sporting Goods 
Industry. First applied in 1997, we revised the Work-
place Standards in 2001, 2006 and 2016 in consultation 
with labour and human rights groups. 
",40
"While we already have innovative approaches to sys-
tematically empowering workers in our factories in 
 place, we piloted a set of new initiatives aiming to bet-
ter understand and respond to their needs as well as 
to develop suitable skill training programmes for them 
in 2016. 
",40
"Indonesia: gaining insights into workplace conditions 
We conducted a pilot survey in three factories in 
Indonesia in cooperation with an external partner 
based in Hong Kong. The goal was to gain insights 
into the current workplace environment and identify 
strengths and weaknesses as well as potential 
improvement opportunities that can be implemented 
to further improve worker satisfaction.
",40
